value,property,files
Sachsen-Anhalt,name,ne_10m_admin_1_label_points.geojson
Sachsen,name,ne_10m_admin_1_label_points.geojson
Limavady,name,ne_10m_admin_1_label_points.geojson
Castlereagh,name,ne_10m_admin_1_label_points.geojson
Derry,name,ne_10m_admin_1_label_points.geojson
Omagh,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Armagh,name,ne_10m_admin_1_label_points.geojson
Newry and Mourne,name,ne_10m_admin_1_label_points.geojson
Banbridge,name,ne_10m_admin_1_label_points.geojson
Craigavon,name,ne_10m_admin_1_label_points.geojson
Dungannon,name,ne_10m_admin_1_label_points.geojson
Lisburn,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Ulster,name,ne_10m_admin_1_label_points.geojson
Antrim,name,ne_10m_admin_1_label_points.geojson
Magherafelt,name,ne_10m_admin_1_label_points.geojson
Ballymena,name,ne_10m_admin_1_label_points.geojson
Larne,name,ne_10m_admin_1_label_points.geojson
Carrickfergus,name,ne_10m_admin_1_label_points.geojson
Newtownabbey,name,ne_10m_admin_1_label_points.geojson
North Down,name,ne_10m_admin_1_label_points.geojson
Down,name,ne_10m_admin_1_label_points.geojson
Coleraine,name,ne_10m_admin_1_label_points.geojson
Ballymoney,name,ne_10m_admin_1_label_points.geojson
Strabane,name,ne_10m_admin_1_label_points.geojson
Fermanagh,name,ne_10m_admin_1_label_points.geojson
Ards,name,ne_10m_admin_1_label_points.geojson
Belfast,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Kaliningrad,name,ne_10m_admin_1_label_points.geojson;ne_10m_geography_marine_polys.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Waterford,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Knowsley,name,ne_10m_admin_1_label_points.geojson
Halton,name,ne_10m_admin_1_label_points.geojson
Cheshire East,name,ne_10m_admin_1_label_points.geojson
Newcastle upon Tyne,name,ne_10m_admin_1_label_points.geojson;ne_10m_ports.geojson
Darlington,name,ne_10m_admin_1_label_points.geojson
Durham,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Hartlepool,name,ne_10m_admin_1_label_points.geojson
Middlesbrough,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Redcar and Cleveland,name,ne_10m_admin_1_label_points.geojson
Stockton-on-Tees,name,ne_10m_admin_1_label_points.geojson
Northumberland,name,ne_10m_admin_1_label_points.geojson
Hampshire,name,ne_10m_admin_1_label_points.geojson
Southampton,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
West Midlands,name,ne_10m_admin_1_label_points.geojson
Milton Keynes,name,ne_10m_admin_1_label_points.geojson
Gloucestershire,name,ne_10m_admin_1_label_points.geojson
Buckinghamshire,name,ne_10m_admin_1_label_points.geojson
Central Bedfordshire,name,ne_10m_admin_1_label_points.geojson
Hertfordshire,name,ne_10m_admin_1_label_points.geojson
Bath and North East Somerset,name,ne_10m_admin_1_label_points.geojson
Bristol,name,ne_10m_admin_1_label_points.geojson;ne_10m_lakes_pluvial.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
North Somerset,name,ne_10m_admin_1_label_points.geojson
South Gloucestershire,name,ne_10m_admin_1_label_points.geojson
Somerset,name,ne_10m_admin_1_label_points.geojson
Reading,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Bournemouth,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Dorset,name,ne_10m_admin_1_label_points.geojson
Poole,name,ne_10m_admin_1_label_points.geojson;ne_10m_ports.geojson
Cambridgeshire,name,ne_10m_admin_1_label_points.geojson
England,name,ne_10m_admin_1_label_points.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Kingston upon Hull,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
North East Lincolnshire,name,ne_10m_admin_1_label_points.geojson
North Lincolnshire,name,ne_10m_admin_1_label_points.geojson
Derby,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Derbyshire,name,ne_10m_admin_1_label_points.geojson
Barking and Dagenham,name,ne_10m_admin_1_label_points.geojson
Bexley,name,ne_10m_admin_1_label_points.geojson
Brent,name,ne_10m_admin_1_label_points.geojson
Bromley,name,ne_10m_admin_1_label_points.geojson
Camden,name,ne_10m_admin_1_label_points.geojson
Croydon,name,ne_10m_admin_1_label_points.geojson
Ealing,name,ne_10m_admin_1_label_points.geojson
Enfield,name,ne_10m_admin_1_label_points.geojson
Greenwich,name,ne_10m_admin_1_label_points.geojson
Hammersmith and Fulham,name,ne_10m_admin_1_label_points.geojson
Hounslow,name,ne_10m_admin_1_label_points.geojson
Islington,name,ne_10m_admin_1_label_points.geojson
Kensington and Chelsea,name,ne_10m_admin_1_label_points.geojson
Merton,name,ne_10m_admin_1_label_points.geojson
Cornwall,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
York,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_rivers_north_america.geojson
Telford and Wrekin,name,ne_10m_admin_1_label_points.geojson
Blackburn with Darwen,name,ne_10m_admin_1_label_points.geojson
Lancashire,name,ne_10m_admin_1_label_points.geojson
East Riding of Yorkshire,name,ne_10m_admin_1_label_points.geojson
Cumbria,name,ne_10m_admin_1_label_points.geojson
North Yorkshire,name,ne_10m_admin_1_label_points.geojson
Plymouth,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Torbay,name,ne_10m_admin_1_label_points.geojson
Redbridge,name,ne_10m_admin_1_label_points.geojson
Richmond upon Thames,name,ne_10m_admin_1_label_points.geojson
Sutton,name,ne_10m_admin_1_label_points.geojson;ne_10m_rivers_north_america.geojson
Tower Hamlets,name,ne_10m_admin_1_label_points.geojson
Waltham Forest,name,ne_10m_admin_1_label_points.geojson
Wandsworth,name,ne_10m_admin_1_label_points.geojson
Westminster,name,ne_10m_admin_1_label_points.geojson
Lincolnshire,name,ne_10m_admin_1_label_points.geojson
Essex,name,ne_10m_admin_1_label_points.geojson
Suffolk,name,ne_10m_admin_1_label_points.geojson
Norfolk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Brest,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Homyel',name,ne_10m_admin_1_label_points.geojson
Mahilyow,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Vitsyebsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Hrodna,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Minsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_110m_populated_places.geojson;ne_110m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Saare,name,ne_10m_admin_1_label_points.geojson
Pärnu,name,ne_10m_admin_1_label_points.geojson
East Ayrshire,name,ne_10m_admin_1_label_points.geojson
East Dunbartonshire,name,ne_10m_admin_1_label_points.geojson
East Renfrewshire,name,ne_10m_admin_1_label_points.geojson
Glasgow,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Inverclyde,name,ne_10m_admin_1_label_points.geojson
North Ayshire,name,ne_10m_admin_1_label_points.geojson
North Lanarkshire,name,ne_10m_admin_1_label_points.geojson
Renfrewshire,name,ne_10m_admin_1_label_points.geojson
South Ayrshire,name,ne_10m_admin_1_label_points.geojson
South Lanarkshire,name,ne_10m_admin_1_label_points.geojson
West Dunbartonshire,name,ne_10m_admin_1_label_points.geojson
Aberdeen,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Aberdeenshire,name,ne_10m_admin_1_label_points.geojson
Moray,name,ne_10m_admin_1_label_points.geojson
Falkirk,name,ne_10m_admin_1_label_points.geojson
Stirling,name,ne_10m_admin_1_label_points.geojson
Clackmannanshire,name,ne_10m_admin_1_label_points.geojson
Perthshire and Kinross,name,ne_10m_admin_1_label_points.geojson
Angus,name,ne_10m_admin_1_label_points.geojson
Dundee,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Fife,name,ne_10m_admin_1_label_points.geojson
East Lothian,name,ne_10m_admin_1_label_points.geojson
Edinburgh,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Midlothian,name,ne_10m_admin_1_label_points.geojson
West Lothian,name,ne_10m_admin_1_label_points.geojson
Scottish Borders,name,ne_10m_admin_1_label_points.geojson
Dumfries and Galloway,name,ne_10m_admin_1_label_points.geojson
Lääne,name,ne_10m_admin_1_label_points.geojson
Hiiu,name,ne_10m_admin_1_label_points.geojson
Harju,name,ne_10m_admin_1_label_points.geojson
Ida-Viru,name,ne_10m_admin_1_label_points.geojson
Järva,name,ne_10m_admin_1_label_points.geojson
Jõgeva,name,ne_10m_admin_1_label_points.geojson
Lääne-Viru,name,ne_10m_admin_1_label_points.geojson
Tartu,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Põlva,name,ne_10m_admin_1_label_points.geojson
Rapla,name,ne_10m_admin_1_label_points.geojson
Valga,name,ne_10m_admin_1_label_points.geojson
Viljandi,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Võru,name,ne_10m_admin_1_label_points.geojson
City of St. Petersburg,name,ne_10m_admin_1_label_points.geojson
Leningrad,name,ne_10m_admin_1_label_points.geojson
Eysturoyar,name,ne_10m_admin_1_label_points.geojson
Karelia,name,ne_10m_admin_1_label_points.geojson
Chukchi Autonomous Okrug,name,ne_10m_admin_1_label_points.geojson
Arkhangel'sk,name,ne_10m_admin_1_label_points.geojson
Yamal-Nenets,name,ne_10m_admin_1_label_points.geojson
Nenets,name,ne_10m_admin_1_label_points.geojson
Ingush,name,ne_10m_admin_1_label_points.geojson
Ivanovo,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Kostroma,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Nizhegorod,name,ne_10m_admin_1_label_points.geojson
Tver',name,ne_10m_admin_1_label_points.geojson
Vologda,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Yaroslavl',name,ne_10m_admin_1_label_points.geojson
Kaluga,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Adygey,name,ne_10m_admin_1_label_points.geojson
Karachay-Cherkess,name,ne_10m_admin_1_label_points.geojson
Kabardin-Balkar,name,ne_10m_admin_1_label_points.geojson
North Ossetia,name,ne_10m_admin_1_label_points.geojson
Stavropol',name,ne_10m_admin_1_label_points.geojson
Novgorod,name,ne_10m_admin_1_label_points.geojson
Pskov,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Bryansk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Smolensk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Kursk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Lipetsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Moskovsskaya,name,ne_10m_admin_1_label_points.geojson
Moskva,name,ne_10m_admin_1_label_points.geojson
Orel,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Rostov,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Tula,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Volgograd,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Belgorod,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Krasnodar,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Mordovia,name,ne_10m_admin_1_label_points.geojson
Penza,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Ryazan',name,ne_10m_admin_1_label_points.geojson
Tambov,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Vladimir,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Voronezh,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_rivers_europe.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Bashkortostan,name,ne_10m_admin_1_label_points.geojson
Komi,name,ne_10m_admin_1_label_points.geojson
Kirov,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Mariy-El,name,ne_10m_admin_1_label_points.geojson
Udmurt,name,ne_10m_admin_1_label_points.geojson
Chuvash,name,ne_10m_admin_1_label_points.geojson
Kalmyk,name,ne_10m_admin_1_label_points.geojson
Samara,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_rivers_europe.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Saratov,name,ne_10m_admin_1_label_points.geojson;ne_10m_airports.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Tatarstan,name,ne_10m_admin_1_label_points.geojson
Ul'yanovsk,name,ne_10m_admin_1_label_points.geojson
Chechnya,name,ne_10m_admin_1_label_points.geojson
Chelyabinsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_airports.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Kurgan,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Sverdlovsk,name,ne_10m_admin_1_label_points.geojson
Orenburg,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Tyumen',name,ne_10m_admin_1_label_points.geojson
Tomsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Khanty-Mansiy,name,ne_10m_admin_1_label_points.geojson
Omsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Altay,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Gorno-Altay,name,ne_10m_admin_1_label_points.geojson
Kemerovo,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Khakass,name,ne_10m_admin_1_label_points.geojson
Novosibirsk,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Magallanes y Antártica Chilena,name,ne_10m_admin_1_label_points.geojson
Aisén del General Carlos Ibáñez del Campo,name,ne_10m_admin_1_label_points.geojson
South Jeolla,name,ne_10m_admin_1_label_points.geojson
Sakhalin,name,ne_10m_admin_1_label_points.geojson
Morbihan,name,ne_10m_admin_1_label_points.geojson
Tasmania,name,ne_10m_admin_1_label_points.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson
Victoria,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_10m_rivers_north_america.geojson;ne_110m_populated_places.geojson;ne_110m_populated_places_simple.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
South Australia,name,ne_10m_admin_1_label_points.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson
Western Australia,name,ne_10m_admin_1_label_points.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson
Norfolk Island,name,ne_10m_admin_1_label_points.geojson;ne_10m_airports.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Kgalagadi,name,ne_10m_admin_1_label_points.geojson
North-West,name,ne_10m_admin_1_label_points.geojson
Kgatleng,name,ne_10m_admin_1_label_points.geojson
Kweneng,name,ne_10m_admin_1_label_points.geojson
South-East,name,ne_10m_admin_1_label_points.geojson
Northern Territory,name,ne_10m_admin_1_label_points.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson
Rotuma,name,ne_10m_admin_1_label_points.geojson
Australian Capital Territory,name,ne_10m_admin_1_label_points.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson
New South Wales,name,ne_10m_admin_1_label_points.geojson;ne_50m_admin_1_states_provinces.geojson;ne_50m_admin_1_states_provinces_lakes.geojson;ne_50m_admin_1_states_provinces_lakes_shp.geojson;ne_50m_admin_1_states_provinces_shp.geojson
Christmas Island,name,ne_10m_admin_1_label_points.geojson
Cankuzo,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Karuzi,name,ne_10m_admin_1_label_points.geojson
Rutana,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Ruyigi,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Bubanza,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Bururi,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Cibitoke,name,ne_10m_admin_1_label_points.geojson
Gitega,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Kayanza,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Makamba,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Ngozi,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Kirundo,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Muyinga,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Ogooué-Maritime,name,ne_10m_admin_1_label_points.geojson
Moyen-Ogooué,name,ne_10m_admin_1_label_points.geojson
Ngounié,name,ne_10m_admin_1_label_points.geojson
Nyanga,name,ne_10m_admin_1_label_points.geojson
Haut-Ogooué,name,ne_10m_admin_1_label_points.geojson
Ogooué-Lolo,name,ne_10m_admin_1_label_points.geojson
Bouenza,name,ne_10m_admin_1_label_points.geojson
Kalangala,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Tawi-Tawi,name,ne_10m_admin_1_label_points.geojson
Davao Del Sur,name,ne_10m_admin_1_label_points.geojson
Sulu,name,ne_10m_admin_1_label_points.geojson
Jubbada Hoose,name,ne_10m_admin_1_label_points.geojson
Basilan,name,ne_10m_admin_1_label_points.geojson
Palawan,name,ne_10m_admin_1_label_points.geojson;ne_50m_geography_regions_polys.geojson
Davao del Norte,name,ne_10m_admin_1_label_points.geojson
Zamboanga del Sur,name,ne_10m_admin_1_label_points.geojson
Camiguin,name,ne_10m_admin_1_label_points.geojson
Siquijor,name,ne_10m_admin_1_label_points.geojson
Bohol,name,ne_10m_admin_1_label_points.geojson;ne_50m_geography_regions_polys.geojson
Dinagat Islands,name,ne_10m_admin_1_label_points.geojson
Zamboanga del Norte,name,ne_10m_admin_1_label_points.geojson
Zamboanga Del Sur,name,ne_10m_admin_1_label_points.geojson
Misamis Occidental,name,ne_10m_admin_1_label_points.geojson
Lanao del Norte,name,ne_10m_admin_1_label_points.geojson
Lanao del Sur,name,ne_10m_admin_1_label_points.geojson
Maguindanao,name,ne_10m_admin_1_label_points.geojson
North Cotabato,name,ne_10m_admin_1_label_points.geojson
Sultan Kudarat,name,ne_10m_admin_1_label_points.geojson
Agusan del Norte,name,ne_10m_admin_1_label_points.geojson
Agusan del Sur,name,ne_10m_admin_1_label_points.geojson
Bukidnon,name,ne_10m_admin_1_label_points.geojson
Compostela Valley,name,ne_10m_admin_1_label_points.geojson
Surigao del Sur,name,ne_10m_admin_1_label_points.geojson
Misamis Oriental,name,ne_10m_admin_1_label_points.geojson
Davao Oriental,name,ne_10m_admin_1_label_points.geojson
Sarangani,name,ne_10m_admin_1_label_points.geojson
South Cotabato,name,ne_10m_admin_1_label_points.geojson
Southern Leyte,name,ne_10m_admin_1_label_points.geojson
Leyte,name,ne_10m_admin_1_label_points.geojson;ne_50m_geography_regions_polys.geojson
Guimaras,name,ne_10m_admin_1_label_points.geojson
Eastern Samar,name,ne_10m_admin_1_label_points.geojson
Negros Oriental,name,ne_10m_admin_1_label_points.geojson
Negros Occidental,name,ne_10m_admin_1_label_points.geojson
Cebu,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Biliran,name,ne_10m_admin_1_label_points.geojson
Samar,name,ne_10m_admin_1_label_points.geojson;ne_50m_geography_regions_polys.geojson
Antique,name,ne_10m_admin_1_label_points.geojson
Aklan,name,ne_10m_admin_1_label_points.geojson
Capiz,name,ne_10m_admin_1_label_points.geojson
Iloilo,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Northern Samar,name,ne_10m_admin_1_label_points.geojson
Romblon,name,ne_10m_admin_1_label_points.geojson
Masbate,name,ne_10m_admin_1_label_points.geojson;ne_10m_ports.geojson
Albay,name,ne_10m_admin_1_label_points.geojson
Oriental Mindoro,name,ne_10m_admin_1_label_points.geojson
Catanduanes,name,ne_10m_admin_1_label_points.geojson
Quezon,name,ne_10m_admin_1_label_points.geojson
Camarines Norte,name,ne_10m_admin_1_label_points.geojson
Camarines Sur,name,ne_10m_admin_1_label_points.geojson
Sorsogon,name,ne_10m_admin_1_label_points.geojson
Abra,name,ne_10m_admin_1_label_points.geojson
Cagayan,name,ne_10m_admin_1_label_points.geojson
Apayao,name,ne_10m_admin_1_label_points.geojson
Ilocos Norte,name,ne_10m_admin_1_label_points.geojson
Ilocos Sur,name,ne_10m_admin_1_label_points.geojson
Aurora,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Isabela,name,ne_10m_admin_1_label_points.geojson;ne_50m_geography_regions_polys.geojson
Ifugao,name,ne_10m_admin_1_label_points.geojson
Mountain Province,name,ne_10m_admin_1_label_points.geojson
Nueva Vizcaya,name,ne_10m_admin_1_label_points.geojson
Quirino,name,ne_10m_admin_1_label_points.geojson
Bataan,name,ne_10m_admin_1_label_points.geojson
Tarlac,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Nueva Ecija,name,ne_10m_admin_1_label_points.geojson
Pampanga,name,ne_10m_admin_1_label_points.geojson
Benguet,name,ne_10m_admin_1_label_points.geojson
Zambales,name,ne_10m_admin_1_label_points.geojson
La Union,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Batanes,name,ne_10m_admin_1_label_points.geojson
Timbuktu,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Kidal,name,ne_10m_admin_1_label_points.geojson
Gao,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Jeju,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Gyeongsangnam-do,name,ne_10m_admin_1_label_points.geojson
Jeollabuk-do,name,ne_10m_admin_1_label_points.geojson
Chungcheongnam-do,name,ne_10m_admin_1_label_points.geojson
North Gyeongsang,name,ne_10m_admin_1_label_points.geojson
Daejeon,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Gwangju,name,ne_10m_admin_1_label_points.geojson;ne_10m_airports.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Busan,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Ulsan,name,ne_10m_admin_1_label_points.geojson;ne_10m_airports.geojson;ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Daegu,name,ne_10m_admin_1_label_points.geojson;ne_10m_populated_places_simple.geojson
Primor'ye,name,ne_10m_admin_1_label_points.geojson
Var,name,ne_10m_admin_1_label_points.geojson
Charente-Maritime,name,ne_10m_admin_1_label_points.geojson
Vendée,name,ne_10m_admin_1_label_points.geojson
Finistère,name,ne_10m_admin_1_label_points.geojson
Calvados,name,ne_10m_admin_1_label_points.geojson
Deux-Sèvres,name,ne_10m_admin_1_label_points.geojson
Pyrénées-Atlantiques,name,ne_10m_admin_1_label_points.geojson
Alpes-de-Haute-Provence,name,ne_10m_admin_1_label_points.geojson
Hérault,name,ne_10m_admin_1_label_points.geojson
Aveyron,name,ne_10m_admin_1_label_points.geojson;ne_10m_rivers_europe.geojson
Puy-de-Dôme,name,ne_10m_admin_1_label_points.geojson
Saône-et-Loire,name,ne_10m_admin_1_label_points.geojson
Loir-et-Cher,name,ne_10m_admin_1_label_points.geojson
Seine-Maritime,name,ne_10m_admin_1_label_points.geojson
Seien-et-Marne,name,ne_10m_admin_1_label_points.geojson
Haute-Vienne,name,ne_10m_admin_1_label_points.geojson
