value,property,files
India,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
India,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Arunachal Pradesh,brk_name,ne_10m_admin_0_disputed_areas.geojson
Arunachal Pradesh,name_sort,ne_10m_admin_0_disputed_areas.geojson
South Tibet,name_alt,ne_10m_admin_0_disputed_areas.geojson
Tirpani Valleys,brk_name,ne_10m_admin_0_disputed_areas.geojson
Tirpani Valleys,name_sort,ne_10m_admin_0_disputed_areas.geojson
Bara Hotii Valleys,brk_name,ne_10m_admin_0_disputed_areas.geojson
Bara Hotii Valleys,name_sort,ne_10m_admin_0_disputed_areas.geojson
Demchok,brk_name,ne_10m_admin_0_disputed_areas.geojson
Demchok,name_sort,ne_10m_admin_0_disputed_areas.geojson
Samdu Valleys,brk_name,ne_10m_admin_0_disputed_areas.geojson
Samdu Valleys,name_sort,ne_10m_admin_0_disputed_areas.geojson
Jammu and Kashmir,brk_name,ne_10m_admin_0_disputed_areas.geojson
Jammu and Kashmir,name_sort,ne_10m_admin_0_disputed_areas.geojson
China,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
China,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Shaksam Valley,brk_name,ne_10m_admin_0_disputed_areas.geojson
Shaksam Valley,name_sort,ne_10m_admin_0_disputed_areas.geojson
Aksai Chin,brk_name,ne_10m_admin_0_disputed_areas.geojson
